ErrorID,ErrorType,Location,Date,Time,Solution
E2000,Oil Leakage,Gear Box,2025-01-05,02:27:48,Replaced oil seal
E2001,Jammed Component,Conveyor Belt Section C,2025-01-04,16:08:38,Cleared obstruction
E2002,Jammed Component,Conveyor Belt Section C,2025-01-05,20:24:15,Cleared obstruction
E2003,Overload Detected,Motor Section,2025-01-04,13:03:29,Reduced machine load
E2004,Oil Leakage,Gear Box,2025-01-01,11:11:26,Replaced oil seal
E2005,Alignment Issue,Conveyor Belt Section A,2025-01-04,04:01:00,Re-aligned conveyor belt
E2006,Communication Error,PLC Controller,2025-01-02,22:58:44,"Reset PLC, updated firmware"
E2007,Low Pressure,Hydraulic Pump,2025-01-02,19:08:50,Adjusted pressure valve
E2008,Low Pressure,Hydraulic Pump,2025-01-02,14:19:05,Adjusted pressure valve
E2009,Jammed Component,Conveyor Belt Section C,2025-01-04,07:43:36,Cleared obstruction
E2010,Sensor Failure,Temperature Sensor T1,2025-01-02,13:15:10,Replaced faulty sensor
E2011,Low Pressure,Hydraulic Pump,2025-01-05,08:03:34,Adjusted pressure valve
E2012,Oil Leakage,Gear Box,2025-01-05,17:47:04,Replaced oil seal
E2013,Overload Detected,Motor Section,2025-01-03,20:44:26,Reduced machine load
E2014,High Temperature,Cooling System,2025-01-05,19:01:16,Refilled coolant
E2015,Overload Detected,Motor Section,2025-01-04,07:20:39,Reduced machine load
E2016,Communication Error,PLC Controller,2025-01-02,06:10:00,"Reset PLC, updated firmware"
E2017,Sensor Failure,Temperature Sensor T1,2025-01-01,16:33:18,Replaced faulty sensor
E2018,High Temperature,Cooling System,2025-01-05,08:40:28,Refilled coolant
E2019,Oil Leakage,Gear Box,2025-01-03,15:43:20,Replaced oil seal
E2020,Overload Detected,Motor Section,2025-01-02,06:10:03,Reduced machine load
E2021,Overheating,Motor Section,2025-01-04,05:21:47,"Cooled fan, checked lubrication"
E2022,Communication Error,PLC Controller,2025-01-04,07:29:32,"Reset PLC, updated firmware"
E2023,Alignment Issue,Conveyor Belt Section A,2025-01-01,21:04:09,Re-aligned conveyor belt
E2024,Overheating,Motor Section,2025-01-01,08:14:32,"Cooled fan, checked lubrication"
